nome	uf	lat	lon	pop2019	areakm2	litoral
Biritinga	BA	-11.5623671578	-38.7898041373	15979	574.462219464209	0
Boa Nova	BA	-14.3602343841	-40.230114962	12633	877.810632162898	0
Boa Vista do Tupim	BA	-12.7778685349	-40.6541087461	18576	2831.77501840477	0
Bom Jesus da Lapa	BA	-13.2771472192	-43.2933874468	69148	4183.9916297374	0
Bom Jesus da Serra	BA	-14.3898792608	-40.577361159	9880	482.344105895283	0
Boninal	BA	-12.776672584	-41.8024975746	14368	918.595608440396	0
Bonito	BA	-11.9692780746	-41.3204137715	16764	812.773800252842	0
Boquira	BA	-12.7411197021	-42.7222886976	21508	1453.95749258344	0
Botuporã	BA	-13.3262301484	-42.5347060582	10211	640.333165502611	0
Brejões	BA	-13.0753739269	-39.8507834973	14295	537.335065762965	1
Brejolândia	BA	-12.499373804	-43.8247637831	10557	2279.52925712587	0
Brotas de Macaúbas	BA	-12.086688708	-42.4651602265	10231	2419.90499154168	0
Brumado	BA	-14.1679429666	-41.6890766557	67195	2261.88171157926	0
Buerarema	BA	-14.9964431595	-39.2695777181	18349	228.165862521421	1
Buritirama	BA	-10.5881260097	-43.6676297188	21174	4108.62367052027	0
Caatiba	BA	-15.0128384194	-40.324805105	6758	529.790500324576	0
Cabaceiras do Paraguaçu	BA	-12.5656916671	-39.1938557291	18807	235.27787296464	1
Cachoeira	BA	-12.6417812606	-38.884134186	33470	412.311102974798	1
Caculé	BA	-14.4828898435	-42.2850499206	23170	624.008671741882	0
Caém	BA	-11.1418450099	-40.2914542278	9213	566.909798043565	0
Caetanos	BA	-14.325682619	-40.9158069397	14542	903.10527278563	0
Caetité	BA	-13.9479676963	-42.4766374531	50975	2705.76669745086	0
Cafarnaum	BA	-11.7429127204	-41.506072278	18437	709.243272965731	0
Cairu	BA	-13.5070370982	-38.9808383797	18176	482.896755365382	1
Caldeirão Grande	BA	-11.0371219496	-40.2235839225	13327	480.897796595236	0
Camacan	BA	-15.4443734134	-39.5186765627	31988	606.858253295027	1
Camaçari	BA	-12.6659078498	-38.2063220692	299132	822.678823051291	1
Camamu	BA	-14.0125011375	-39.1641189266	35316	874.158933973266	1
Campo Alegre de Lourdes	BA	-9.5514133883	-43.1749076694	28798	2830.33559915829	0
Campo Formoso	BA	-10.2538094337	-40.7200070551	71206	7485.36539949518	0
