nome	lat	lon	pop	X	UF
Mucuri	-18.083333	-39.566667	26823	1.68	BA
Paripiranga	-10.683333	-37.866667	6965	0.85	BA
Piritiba	-11.733333	-40.566667	16230	1.51	BA
Baixa Grande	-11.95	-40.183333	7534	1.34	BA
Itarantim	-15.65	-40.05	12370	1.71	BA
Curaçá	-8.983333	-39.9	11858	1.33	BA
Ituberá	-13.733333	-39.15	19888	1.7	BA
Ituaçu	-13.816667	-41.3	4891	1.14	BA
Quijingue	-10.75	-39.2	4293	1.31	BA
Terra Nova	-12.366667	-40.666667	11169	1.4	BA
Pau Brasil	-15.45	-39.65	8136	1.55	BA
Canarana	-11.683333	-41.766667	10785	1.47	BA
Ibicuí	-14.85	-39.983333	10640	1.16	BA
Medeiros Neto	-17.333333	-40.233333	15255	1.53	BA
Conceição do Almeida	-12.8	-39.2	9691	1.13	BA
Pindobaçu	-10.733333	-40.35	17242	1.47	BA
Paulo Afonso	-9.35	-38.233333	85353	2.68	BA
Pôrto Seguro	-16.433333	-39.083333	123196	2.76	BA
Carinhanha	-14.3	-43.783333	11408	1.73	BA
Utinga	-10.983333	-42.95	11949	1.44	BA
Jitaúna	-14.016667	-39.95	11619	1.38	BA
Muritiba	-12.916667	-39.25	22388	0.96	BA
Boquira	-12.816667	-42.766667	6306	1.28	BA
Santo Amaro	-12.533333	-38.716667	46749	1.67	BA
Ibotirama	-12.183333	-43.216667	17354	2.16	BA
Nova Viçosa	-17.883333	-39.366667	56001	2.37	BA
Livramento	-13.65	-41.833333	19914	1.93	BA
Jaguarari	-10.266667	-40.2	22617	1.46	BA
Coração de Maria	-12.233333	-38.75	6571	1.24	BA
Ipirá	-12.166667	-39.733333	27218	1.99	BA
Ipiaú	-14.133333	-39.733333	38763	1.95	BA
Anagé	-14.6	-41.133333	3762	1.33	BA
Palmas de Monte Alto	-14.266667	-43.166667	7091	1.53	BA
Miguel Calmon	-11.433333	-40.6	13748	1.51	BA
Riacho de Santana	-13.616667	-42.95	12658	1.83	BA
Mairi	-11.716667	-40.133333	13475	1.64	BA
Sobradinho	-12.5	-39.116667	19304	1.25	BA
Remanso	-9.683333	-42.066667	22780	2.17	BA
Formosa do Rio Prêto	-11.046389	-45.059722	14365	2.12	BA
Tapiramutá	-11.85	-40.783333	16549	1.86	BA
Ibipeba	-11.633333	-42.033333	14444	1.66	BA
Monte Santo	-10.433333	-39.333333	7398	1.44	BA
Acajutiba	-11.666667	-38.016667	14349	1.23	BA
Una	-15.3	-39.066667	22650	1.75	BA
Correntina	-13.333333	-44.65	13187	1.73	BA
Castro Alves	-12.75	-39.433333	13869	1.48	BA
Itaparica	-12.9	-38.7	20101	1.47	BA
Poções	-14.516667	-40.35	35255	2.06	BA
Ilhéus	-14.816667	-39.033333	155503	1.97	BA
Guanambi	-14.216667	-42.783333	58879	2.69	BA
Jeremoabo	-10.066667	-38.35	16642	1.85	BA
Cansanção	-10.683333	-39.516667	9905	1.5	BA
Camamu	-13.95	-39.116667	13924	1.43	BA
Cachoeira	-12.6	-38.966667	16145	1.3	BA
Tucano	-10.966667	-38.8	31209	2.1	BA
Macaúbas	-13.033333	-42.7	14598	1.96	BA
Maraú	-14.1	-39	2956	1.06	BA
Ubaíra	-13.266667	-39.65	8069	1.12	BA
Araci	-11.333333	-38.95	15089	1.61	BA
Itagibá	-14.283333	-39.85	9843	1.3	BA
São Gonçalo dos Campos	-12.416667	-38.966667	14822	1.08	BA
Valença	-13.366667	-39.083333	63233	2.05	BA
Itagi	-14.166667	-40.016667	10534	1.25	BA
Encruzilhada	-15.516667	-40.9	4711	1.44	BA
Ibirataia	-14.066667	-39.633333	19943	1.26	BA
Nova Soure	-11.233333	-38.483333	11340	1.33	BA
Sento Sé	-9.666667	-41.3	19596	1.63	BA
Santa Inês	-13.283333	-39.8	10521	1.5	BA
Seabra	-12.416667	-41.766667	16765	2	BA
Queimadas	-10.966667	-39.633333	10439	1.76	BA
Itiúba	-10.716667	-39.85	9410	1.52	BA
Barreiras	-12.133333	-45	158296	3.18	BA
Santo Antônio de Jesus	-12.966667	-39.266667	73959	2.31	BA
