albano,-2.45,-57.55
albano,-15.75,-55.5833333
albertina,-22.2,-46.6166667
albertina,-27.25,-49.65
alberto isaacson,-19.5,-45.0666667
alberto moreira,-20.4333333,-48.5833333
albertos,-20.5833333,-45.4833333
alberto torres,-22.2361111,-43.0963889
albino,-3.6097222,-42.9877778
albino,-18.45,-48.5833333
albino alves garcia,-20.45,-45.2
albinopolis,-21.7333333,-47.5333333
albuquerque,-6.8872222,-58.3408333
albuquerque,-4.5833333,-37.7666667
albuquerque,-19.3833333,-57.4333333
albuquerque,-22.3833333,-42.9166667
albuquerque,-20.9833333,-48.8333333
albuquerque,-8.0166667,-37.4
albuquerque de fora,-6.3833333,-38.2
albuquerque lins,-21.6666667,-49.75
albuquerque ne,-8.0166667,-37.4
alcacus,-6.0166667,-35.1333333
alcantara,-2.4,-44.4
alcantara,-22.8244444,-43.0352778
alcantaras,-3.5833333,-40.5
alcantilado,-16.3833333,-53.5166667
alcantil,-7.7333333,-36.05
alceu garcia,-18.55,-49.1833333
alcibiades vargas,-23.3833333,-54.65
alcides batista,-17.5166667,-40.65
alcidio,-21.0333333,-47.55
alcobaca,-17.5,-39.2166667
alcobaca,-3.7,-49.7
alcobaco,-23.4666667,-46.6166667
aldeamento,-19.2666667,-40.7333333
aldeamento,-19.3833333,-41.3166667
aldeia 20 de septembro,-12.8833333,-59.3
aldeia,-12.3666667,-40.0
aldeia,-18.2,-55.1666667
aldeia,-3.0138889,-42.0041667
aldeia,-15.1166667,-56.3833333
aldeia,-16.0333333,-41.3
aldeia,-7.35,-36.3
aldeia,-7.3833333,-40.85
aldeia,-23.5,-46.85
aldeia,-10.7833333,-36.9666667
aldeia,-7.8333333,-35.1166667
aldeia,-7.9166667,-48.2333333
aldeia amanajas tauai,-4.5333333,-47.3666667
aldeia amanajaz tauai,-4.5333333,-47.3666667
aldeia amanajaz taudi,-4.5333333,-47.3666667
aldeia bacaeri,-13.1,-54.1
aldeia bacaery,-14.2,-55.0833333
aldeia bakairi,-14.2,-55.0833333
aldeia cabixi,-12.9833333,-60.2
aldeia cabixy,-12.9833333,-60.2
aldeia caiabi,-11.6166667,-55.6833333
aldeia capitao carutu,-14.3166667,-54.7
aldeia caraja,-10.5,-50.55
aldeia caraja,-7.0666667,-49.1833333
aldeia caraja do capitao maloe,-11.5666667,-50.6666667
aldeia curipi,3.7166667,-51.6833333
aldeia de bororo,-16.5666667,-57.8666667
aldeia de pedra,-5.8333333,-45.9333333
aldeia do cabo,-22.9666667,-42.0166667
aldeia do capitao chimang,-2.8666667,-46.5833333
aldeia do capitao mariquinhas,-3.2166667,-46.2333333
aldeia do capitao piarru,-3.0666667,-46.3
aldeia do inacio,-16.8666667,-57.4833333
aldeia do meio,-7.0666667,-49.1833333
aldeia do meio caraja,-7.0666667,-49.1833333
aldeia do prata,-16.8166667,-40.6166667
aldeia do ranchao,-12.8833333,-59.0166667
aldeia dos bororos,-16.5666667,-57.8666667
aldeia dos caiapos,-19.85,-50.25
aldeia dos indios,-8.1,-54.6166667
aldeia dos machacalis,-16.8833333,-40.6333333
aldeia fichada,-7.35,-49.4666667
aldeia indigena catuquina,-8.2944444,-71.6658333
aldeia indigena espirro,-12.725,-59.9666667
aldeia indigena ipixuna,-4.7733333,-52.5058333
aldeia indigena man-azde,-13.0513889,-59.8708333
aldeia indigena serra azul,-13.6708333,-59.5875
aldeia jose coroado,-14.3,-54.7
aldeia manau,-8.75,-49.65
aldeia manuel antonio,-3.15,-46.7333333
aldeiamento,-19.2666667,-40.7333333
aldeiamento,-19.3833333,-41.3166667
aldeia nambikwara,-12.75,-59.8
aldeia nhambiquara,-12.85,-59.3
aldeia palikur,3.45,-51.5
aldeia paracanti,-8.4555556,-49.5833333
aldeia paracaty,-8.4555556,-49.5833333
aldeia parakana,-4.4238889,-49.9775
aldeia pequena,-8.4166667,-49.8333333
aldeia pirizal,-16.8333333,-56.1333333
aldeia queimada,-14.45,-58.1166667
aldeia ranchao,-12.8833333,-59.0166667
aldeias das canoas,0.8,-55.85
aldeia toliri,-14.6333333,-58.4
aldeia toloiri,-14.6333333,-58.4
aldeia velha,-20.8666667,-57.8333333
aldeia velha,-5.15,-45.5833333
aldeia velha,-14.6833333,-59.1833333
aldeia velha,-16.85,-40.5833333
aldeia velha,-8.3380556,-50.4644444
aldeia velha,-7.0833333,-35.8666667
aldeia velha,-22.4666667,-42.3
aldeia velha,-8.2,-36.4666667
aldeia velha,-6.0333333,-48.3
aldeia vila batista,-1.9336111,-61.2038889
aldeia vinte de setembro,-12.8833333,-59.3
aldeia waikiso,-14.1875,-59.6833333
aldeia xada,-4.5402778,-59.1680556
aldeia zamaicara,-14.6333333,-58.55
aldeia zamaicare,-14.6333333,-58.55
aldeia zamicare,-14.6333333,-58.55
aldeinha,-5.95,-45.0333333
aldeola,-8.2166667,-72.9666667
alecrim,-9.5666667,-37.3166667
alecrim,-12.5833333,-38.9333333
alecrim,-3.4666667,-40.1333333
alecrim,-16.4655556,-44.8125
alecrim,-6.95,-40.5
alecrim,-5.5122222,-37.4138889
alecrim,-27.65,-54.7666667
alecrim,-24.2833333,-47.2333333
alecrim,-7.9,-39.5833333
alegre (1),-6.0666667,-41.8
alegre (2),-6.9,-40.6833333
alegre,-5.8166667,-61.4166667
alegre,-10.3166667,-41.45
alegre,-3.6166667,-40.2833333
alegre,-20.7666667,-41.5333333
alegre,-18.6166667,-55.1166667
alegre,-1.8333333,-44.75
alegre,-15.2477778,-59.8333333
alegre,-18.3,-47.0166667
alegre,-2.2,-48.5
alegre,-5.7666667,-41.7833333
alegre,-24.1166667,-48.9
alegre,-7.9166667,-38.2166667
alegres,-10.5166667,-38.2333333
alegres,-5.95,-40.1
alegrete,-5.1666667,-60.4
alegrete,-20.7666667,-55.4
alegrete,-15.1666667,-56.4166667
alegrete,-7.2333333,-40.85
alegrete,-29.7666667,-55.7666667
alegrete,-17.3,-49.9166667
alegre velho,-6.8333333,-42.35
alegria,0.3166667,-51.2
alegria,-2.6333333,-67.45
alegria,-13.4166667,-39.95
alegria,-19.4166667,-40.6166667
alegria,-19.6833333,-55.65
alegria,-3.6988889,-43.3544444
alegria,-8.85,-58.4666667
alegria,-15.5,-42.0666667
alegria,-0.6,-47.6666667
alegria,-26.2191667,-53.5325
alegria,-3.8352778,-42.2538889
alegria,-5.6166667,-36.6833333
alegria,-27.8,-54.0666667
alegria,-22.5166667,-50.9166667
alegria nova,-21.1833333,-57.15
alegrias,-31.8333333,-53.4166667
alegria velha,-21.1666667,-57.1166667
aleixo,-15.1666667,-56.2166667
aleixo,-5.7213889,-37.3430556
aleixo,-28.25,-50.45
aleluia,-21.8,-41.6333333
alemao,-5.2336111,-36.7961111
alemao do francisco,-12.7833333,-38.85
alemoa,-23.55,-49.7
alem parahyba,-21.8666667,-42.6833333
alem paraiba,-21.8666667,-42.6833333
alemquer,-1.9333333,-54.7666667
alem tejo,-6.0333333,-41.9666667
alencar,-6.4,-39.15
alenquer,-1.9333333,-54.7666667
alexandra,-25.5666667,-48.6166667
alexandre,-8.7,-58.0166667
alexandre bode,-20.1333333,-40.95
alexandre de gusmao,-28.8166667,-51.8
alexandre mendes,-3.7794444,-42.4430556
alexandria,-6.4166667,-38.0166667
alexandria,-8.1833333,-39.7
alexandrina,0.8666667,-66.9
alexandrina,-8.1833333,-39.7
